Company,Period,NewR,CurrR,Date,Symbol
Comtech Telecommunications Corp,FY17,0.30, 0.68,2017-03-08,CMTL
Comtech Telecommunications Corp,FY17,$570 - $580 Mln, $600 Mln,2017-03-08,CMTL
United Natural Foods,2017,2.49 - 2.54, 2.53 - 2.63,2017-03-08,UNFI
United Natural Foods,2017,$9.38 - $9.46, $9.43 - $9.60 Bln,2017-03-08,UNFI
Hewlett Packard Enterprise,FY 17,1.88 - 1.98, 2.00 - 2.10,2017-02-23,HPE
Agilent Technologies,FY 17,$4.33 - $4.35 Bln, $4.35 - $4.37 Bln,2017-02-14,A
Agilysys Inc,2017,$128 - $131 Mln, $132 - $136 Mln,2017-02-09,AGYS
Maximus Inc,FY17,$2.425 - $2.475, $2.475 - $2.550,2017-02-09,MMS
Intuit  Inc.,Q2 17,$1.010 - $1.015 Bln, $1.045 - $1.065 Bln,2017-02-08,INTU
Intuit  Inc.,Q2 17,0.24 - 0.25, 0.33 - 0.36,2017-02-08,INTU
Cardinal Health Inc,FY17,5.35 - 5.50, 5.40 - 5.60,2017-02-07,CAH
Clorox Co.,FY17,5.23 - 5.38, 5.23 - 5.43,2017-02-03,CLX
Deckers Outdoor Corp,FY 17,3.45 - 3.55 , 4.05 - 4.25 ,2017-02-02,DECK
The Estée Lauder Companies Inc.,FY17,3.29 - 3.33, 3.38 - 3.44,2017-02-02,EL
Harris Corp.,FY17,$5.76 Bln - $5.88 Bln, $7.11 Bln - $7.33 Bln,2017-02-02,HRS
Harris Corp.,FY17,5.40 - 5.60, 5.70 - 5.90,2017-02-02,HRS
Hologic Inc,2017,1.90 - 1.94, 2.12 - 2.16,2017-02-01,HOLX
Hologic Inc,2017,$2.785 - $2.825 Bln, $2.94 - $2.98 Bln,2017-02-01,HOLX
Brinker International Inc.,FY17,3.05 - 3.15, 3.40 - 3.50,2017-01-25,EAT
CA Technologies,2017,2.42 - 2.47, 2.49 - 2.54,2017-01-24,CA
CA Technologies,2017,$4.01 - $4.03 Bln, $4.03 - $4.07 Bln,2017-01-24,CA
PTC Inc.,FY 17,1.20 - 1.30, 1.20 - 1.35,2017-01-18,PTC
PTC Inc.,FY17,$1.165 - $1.180 Bln, $1.190 - $1.210 Bln,2017-01-18,PTC
