Symbol,Sector,Industry,Mkt Cap,Exch,PW?,5658,25,0.44%,,PW Companies - Capital Goods,,,,,,,,No PW Companies
PIH,Finance,Property-Casualty Insurers,42.9,NASDAQ,0,,,,,25/07/2016,COL,Capital Goods,Military/Government/Technical,,,,,
FLWS,Consumer Services,Other Specialty Stores,629.46,NASDAQ,0,,,,,27/07/2016,ROK,Capital Goods,Industrial Machinery/Components,,,,,
FCCY,Finance,Savings Institutions,145.49,NASDAQ,0,,,,,27/07/2016,BA,Capital Goods,Aerospace,,,,,
SRCE,Finance,Major Banks,1.22,NASDAQ,0,,,,,27/07/2016,FLIR,Capital Goods,Industrial Machinery/Components,,,,,
VNET,Technology,"Computer Software: Programming, Data Processing",630.94,NASDAQ,0,,,,,28/07/2016,TMO,Capital Goods,Industrial Machinery/Components,,,,,
TWOU,Technology,Computer Software: Prepackaged Software,1.81,NASDAQ,0,,,,,02/08/2016,SRI,Capital Goods,Auto Parts:O.E.M.,,,,,
JOBS,Technology,Diversified Commercial Services,2.21,NASDAQ,0,,,,,03/08/2016,CUB,Capital Goods,Industrial Machinery/Components,,,,,
CAFD,Public Utilities,Electric Utilities: Central,1.01,NASDAQ,0,,,,,04/08/2016,PWR,Capital Goods,Engineering & Construction,,,,,
EGHT,Public Utilities,Telecommunications Equipment,1.3,NASDAQ,0,,,,,04/08/2016,ITT,Capital Goods,Fluid Controls,,,,,
AVHI,Capital Goods,Homebuilding,368.05,NASDAQ,0,,,,,17/08/2016,A,Capital Goods,Biotechnology: Laboratory Analytical Instruments,,,,,
SHLM,Basic Industries,Major Chemicals,961.82,NASDAQ,0,,,,,06/10/2016,WMS,Capital Goods,Containers/Packaging,,,,,
AAON,Capital Goods,Industrial Machinery/Components,1.91,NASDAQ,0,,,,,10/10/2016,ILMN,Capital Goods,Biotechnology: Laboratory Analytical Instruments,,,,,
ABAX,Capital Goods,Industrial Machinery/Components,1.1,NASDAQ,0,,,,,19/10/2016,GPC,Capital Goods,Automotive Aftermarket,,,,,
ABEO,Health Care,Major Pharmaceuticals,207.79,NASDAQ,0,,,,,19/10/2016,VMI,Capital Goods,Metal Fabrications,,,,,
ABEOW,Health Care,Major Pharmaceuticals,n/a,NASDAQ,0,,,,,20/10/2016,WBC,Capital Goods,Auto Manufacturing,,,,,
ABIL,Finance,Business Services,60.23,NASDAQ,0,,,,,25/10/2016,MDR,Capital Goods,Metal Fabrications,,,,,
ABMD,Health Care,Medical/Dental Instruments,5.35,NASDAQ,0,,,,,27/10/2016,RTN,Capital Goods,Industrial Machinery/Components,,,,,
AXAS,Energy,Oil & Gas Production,291.64,NASDAQ,0,,,,,27/10/2016,FLS,Capital Goods,Fluid Controls,,,,,
ACIU,Health Care,Major Pharmaceuticals,679.71,NASDAQ,0,,,,,31/10/2016,ROP,Capital Goods,Industrial Machinery/Components,,,,,
ACIA,Technology,Semiconductors,1.98,NASDAQ,0,,,,,01/11/2016,FSS,Capital Goods,Auto Manufacturing,,,,,
ACTG,Miscellaneous,Multi-Sector Companies,272.5,NASDAQ,0,,,,,03/11/2016,TGI,Capital Goods,Aerospace,,,,,
ACHC,Health Care,Medical Specialities,3.69,NASDAQ,0,,,,,07/11/2016,PKI,Capital Goods,Biotechnology: Laboratory Analytical Instruments,,,,,
ACAD,Health Care,Major Pharmaceuticals,4.64,NASDAQ,0,,,,,08/11/2016,VPG,Capital Goods,Electrical Products,,,,,
ACST,Health Care,Major Pharmaceuticals,19.08,NASDAQ,0,,,,,14/11/2016,CDTI,Capital Goods,Pollution Control Equipment,,,,,
AXDX,Capital Goods,Biotechnology: Laboratory Analytical Instruments,1.15,NASDAQ,0,,,,,02/02/2017,HRS,Capital Goods,Industrial Machinery/Components,,,,,
ACCP,n/a,n/a,n/a,NASDAQ,0,,,,,,,,,,,,,
XLRN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),1.11,NASDAQ,0,,,,,,,,,,,,,
ANCX,Finance,Savings Institutions,286.33,NASDAQ,0,,,,,,,,,,,,,
ARAY,Health Care,Medical/Dental Instruments,414.49,NASDAQ,0,,,,,,,,,,,,,
ACRX,Health Care,Major Pharmaceuticals,138.28,NASDAQ,0,,,,,,,,,,,,,
ACET,Health Care,Other Pharmaceuticals,453.51,NASDAQ,0,,,,,,,,,,,,,
AKAO,Health Care,Major Pharmaceuticals,782.35,NASDAQ,0,,,,,,,,,,,,,
ACHN,Health Care,Major Pharmaceuticals,556.46,NASDAQ,0,,,,,,,,,,,,,
ACIW,Technology,Computer Software: Prepackaged Software,2.63,NASDAQ,0,,,,,,,,,,,,,
ACRS,Health Care,Major Pharmaceuticals,798.43,NASDAQ,0,,,,,,,,,,,,,
ACNB,Finance,Major Banks,186.17,NASDAQ,0,,,,,,,,,,,,,
ACOR,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),1.3,NASDAQ,0,,,,,,,,,,,,,
ATVI,Technology,Computer Software: Prepackaged Software,37.01,NASDAQ,0,,,,,,,,,,,,,
ACTA,Technology,EDP Services,484.96,NASDAQ,0,,,,,,,,,,,,,
ACXM,Technology,EDP Services,2.21,NASDAQ,0,,,,,,,,,,,,,
ADMS,Health Care,Major Pharmaceuticals,393.51,NASDAQ,0,,,,,,,,,,,,,
ADMP,Health Care,Major Pharmaceuticals,98.21,NASDAQ,0,,,,,,,,,,,,,
ADAP,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),336.23,NASDAQ,0,,,,,,,,,,,,,
ADUS,Health Care,Medical/Nursing Services,372.56,NASDAQ,0,,,,,,,,,,,,,
AEY,Consumer Services,Office Equipment/Supplies/Services,18.95,NASDAQ,0,,,,,,,,,,,,,
IOTS,Technology,Semiconductors,65.06,NASDAQ,0,,,,,,,,,,,,,
ADMA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),61.47,NASDAQ,0,,,,,,,,,,,,,
